time,G(i),H_sun,T2m,WS10m,Int
20230101:0011,0,0,4.46,2,0
20230101:0111,0,0,4.6,1.66,0
20230101:0211,0,0,4.67,1.38,0
20230101:0311,0,0,4.57,2,0
20230101:0411,0,0,4.57,2.34,0
20230101:0511,0,0,4.49,2.14,0
20230101:0611,0,0,4.46,1.66,0
20230101:0711,0,0,4.31,1.59,0
20230101:0811,0,0,4.37,1.52,0
20230101:0911,0,0,4.65,1.93,0
20230101:1011,267.89,7.13,4.86,1.03,0
20230101:1111,449.43,11.35,5.53,0.97,0
20230101:1211,550.33,13.57,6.33,0.83,0
20230101:1311,440.15,13.61,7.01,2.14,0
20230101:1411,43.18,11.46,7.32,3.45,0
20230101:1511,318.4,7.3,7.02,4.41,0
20230101:1611,0,0,6.71,4.76,0
20230101:1711,0,0,6.05,4.55,0
20230101:1811,0,0,5.84,4.55,0
20230101:1911,0,0,5.7,4.97,0
20230101:2011,0,0,5.45,5.52,0
20230101:2111,0,0,5.22,5.45,0
20230101:2211,0,0,5.06,4.69,0
20230101:2311,0,0,5.07,3.79,0
20230102:0011,0,0,5.04,3.1,0
20230102:0111,0,0,4.64,2.83,0
20230102:0211,0,0,5.02,2.83,0
20230102:0311,0,0,5.83,2.69,0
20230102:0411,0,0,5.94,2.34,0
20230102:0511,0,0,5.42,2.62,0
20230102:0611,0,0,4.91,3.38,0
20230102:0711,0,0,5.54,3.45,0
20230102:0811,0,0,6.05,4.07,0
20230102:0911,0,0,6.19,4.69,0
20230102:1011,282.42,7.17,6.74,5.72,0
20230102:1111,463.55,11.41,7.12,6.55,0
20230102:1211,575.61,13.65,7.41,7.1,0
20230102:1311,584.23,13.7,7.58,7.45,0
20230102:1411,495.02,11.56,7.64,8.28,0
20230102:1511,337.01,7.42,7.6,8.9,0
20230102:1611,2.76,1.59,7.33,8.76,0
20230102:1711,0,0,7.09,8.62,0
20230102:1811,0,0,6.89,9.03,0
20230102:1911,0,0,6.65,9.66,0
20230102:2011,0,0,6.78,10.14,0
20230102:2111,0,0,6.79,10.34,0
20230102:2211,0,0,7.28,10.62,0
20230102:2311,0,0,7.51,10.83,0
20230103:0011,0,0,7.86,11.1,0
20230103:0111,0,0,8.51,11.59,0
20230103:0211,0,0,9.54,9.86,0
20230103:0311,0,0,10.32,10.28,0
20230103:0411,0,0,10.32,9.31,0
20230103:0511,0,0,10.27,9.38,0
20230103:0611,0,0,10.2,9.38,0
20230103:0711,0,0,9.91,8.83,0
20230103:0811,0,0,9.56,7.38,0
20230103:0911,0,0,9.37,8.76,0
20230103:1011,10.11,7.22,10.35,10,0
20230103:1111,43.18,11.47,11.45,11.79,0
20230103:1211,94.46,13.73,11.65,11.66,0
20230103:1311,33.08,13.81,11.48,10.34,0
20230103:1411,46.86,11.68,11.3,10.28,0
20230103:1511,47.08,7.54,11.11,10.07,0
20230103:1611,0.92,1.72,11.14,9.45,0
20230103:1711,0,0,11.08,11.66,0
20230103:1811,0,0,11.52,13.45,0
20230103:1911,0,0,11.98,13.45,0
20230103:2011,0,0,11.93,12.83,0
20230103:2111,0,0,11.77,12.48,0
20230103:2211,0,0,11.41,12.41,0
20230103:2311,0,0,11.3,12.07,0
20230104:0011,0,0,10.96,12.55,0
20230104:0111,0,0,10.69,13.03,0
20230104:0211,0,0,10.47,12.76,0
20230104:0311,0,0,10.45,12.76,0
20230104:0411,0,0,10.49,12,0
20230104:0511,0,0,10.53,12.69,0
20230104:0611,0,0,10.6,13.1,0
20230104:0711,0,0,10.49,12.21,0
20230104:0811,0,0,10.62,11.86,0
20230104:0911,0,0,10.57,11.17,0
20230104:1011,80.11,7.27,10.58,10.9,0
20230104:1111,58.24,11.55,10.68,10.83,0
20230104:1211,374.73,13.83,10.67,11.38,0
20230104:1311,80.24,13.91,10.72,12.28,0
20230104:1411,57.45,11.8,10.76,12.07,0
20230104:1511,71.66,7.67,10.62,11.24,0
20230104:1611,1.84,1.86,10.43,10.07,0
20230104:1711,0,0,10.17,9.86,0
20230104:1811,0,0,9.86,9.03,0
20230104:1911,0,0,9.74,8.21,0
20230104:2011,0,0,9.65,7.72,0
20230104:2111,0,0,9.56,7.24,0
20230104:2211,0,0,9.72,6.9,0
20230104:2311,0,0,9.69,5.72,0
20230105:0011,0,0,9.62,5.38,0
20230105:0111,0,0,9.57,5.31,0
20230105:0211,0,0,9.62,5.52,0
20230105:0311,0,0,9.63,5.59,0
20230105:0411,0,0,9.67,7.31,0
20230105:0511,0,0,10.33,8.97,0
20230105:0611,0,0,10.81,9.59,0
20230105:0711,0,0,10.84,10.48,0
20230105:0811,0,0,10.89,11.59,0
20230105:0911,0,0,10.94,12.48,0
20230105:1011,22.97,7.34,11.16,12.9,0
20230105:1111,43.18,11.63,11.39,13.17,0
20230105:1211,74.49,13.93,11.22,14.21,0
20230105:1311,62.48,14.03,10.11,13.31,0
20230105:1411,47.78,11.93,9.49,11.52,0
20230105:1511,49.58,7.81,9.39,11.24,0
20230105:1611,0.92,2,9.35,11.59,0
20230105:1711,0,0,9.24,12.07,0
20230105:1811,0,0,9.04,12.55,0
20230105:1911,0,0,9.06,11.86,0
20230105:2011,0,0,9.08,11.79,0
20230105:2111,0,0,9.07,11.24,0
20230105:2211,0,0,8.58,11.86,0
20230105:2311,0,0,8.72,11.45,0
20230106:0011,0,0,8.69,10.9,0
20230106:0111,0,0,8.57,10.41,0
20230106:0211,0,0,8.61,9.59,0
20230106:0311,0,0,8.53,8.14,0
20230106:0411,0,0,8.48,7.31,0
20230106:0511,0,0,8.5,5.66,0
20230106:0611,0,0,8.67,5.59,0
20230106:0711,0,0,8.33,6.07,0
20230106:0811,0,0,8.15,6.62,0
20230106:0911,0,0,8.32,7.52,0
20230106:1011,54.22,7.41,8.33,8.83,0
20230106:1111,149.61,11.72,8.64,8.62,0
20230106:1211,302.42,14.03,8.9,9.24,0
20230106:1311,138.85,14.15,9.26,9.1,0
20230106:1411,50.53,12.06,9.45,9.79,0
20230106:1511,32.16,7.95,9.78,9.72,0
20230106:1611,1.84,2.15,10.03,10,0
20230106:1711,0,0,10.17,10.14,0
20230106:1811,0,0,9.98,10.41,0
20230106:1911,0,0,9.89,9.72,0
20230106:2011,0,0,9.77,7.93,0
20230106:2111,0,0,9.15,6.07,0
20230106:2211,0,0,8.54,7.1,0
20230106:2311,0,0,8.13,7.24,0
20230107:0011,0,0,7.85,6.21,0
20230107:0111,0,0,7.59,6.76,0
20230107:0211,0,0,7.49,8.69,0
20230107:0311,0,0,7.38,8.97,0
20230107:0411,0,0,7.27,9.03,0
20230107:0511,0,0,6.95,8.83,0
20230107:0611,0,0,7,10.07,0
20230107:0711,0,0,6.9,10.97,0
20230107:0811,0,0,6.46,11.59,0
20230107:0911,5.51,1.51,6.01,11.52,0
20230107:1011,110.71,7.49,7.5,12.48,0
20230107:1111,264.1,11.81,8,14.28,0
20230107:1211,183.94,14.15,8.11,15.45,0
20230107:1311,16.54,14.28,7.87,16.14,0
20230107:1411,49.61,12.21,7.92,15.79,0
20230107:1511,8.27,8.1,8.24,15.52,0
20230107:1611,2.76,2.3,8.29,14.34,0
20230107:1711,0,0,8.7,12.48,0
20230107:1811,0,0,8.81,13.24,0
20230107:1911,0,0,8.84,13.93,0
20230107:2011,0,0,9.35,14.48,0
20230107:2111,0,0,8.78,14.41,0
20230107:2211,0,0,8.73,14.28,0
20230107:2311,0,0,8.42,14.14,0
20230108:0011,0,0,8.22,14.14,0
20230108:0111,0,0,8.02,15.24,0
20230108:0211,0,0,7.95,15.38,0
